CODE;Descrizione;UM;Depos;Codice-Deposito;Linea;Consumi dal 01/01/19 al 04/02/20;QTY;COST;Totale;Note;;
2120599;81409013 LIGHT G SX T1 UPPER;Pz;9001;21205999001;PF;39852;1512;0,1915; 289,55 ;;;
2120705;7435437-00 LUEFTUNGSGITTER BIA;Pz;18;212070518;PF;40125;555;0,55909; 310,29 ;;;
2120605;81419011 LIGHT G SX T2 LOWER;Pz;18;212060518;PF;41310;1620;0,1; 162,00 ;;;
2120604;81418011 LIGHT G DX T2 LOWER;Pz;18;212060418;PF;41310;1350;0,10047; 135,63 ;;;
2120605;81419011 LIGHT G SX T2 LOWER;Pz;9001;21206059001;PF;41310;270;0,1; 27,00 ;;;
2120600;81408014 LIGHT G DX T1 LOWER;Pz;9001;21206009001;PF;41616;2584;0,18495; 477,91 ;;;
2120600;81408014 LIGHT G DX T1 LOWER;Pz;18;212060018;PF;41616;544;0,18495; 100,61 ;;;
2120603;81419010 LIGHT G SX T2 UPPER;Pz;18;212060318;PF;41852;3780;0,09855; 372,52 ;;;
2120603;81419010 LIGHT G SX T2 UPPER;Pz;9001;21206039001;PF;41852;2430;0,09855; 239,48 ;;;
2400857;KIT HALTER/DIVISORE CORTO;Pz;18;240085718;SL;42930;1375;0,2901; 398,89 ;;;
2120602;81418010 LIGHT G DX T2 UPPER;Pz;18;212060218;PF;43470;4590;0,0982; 450,74 ;;;
2120602;81418010 LIGHT G DX T2 UPPER;Pz;9001;21206029001;PF;43470;3240;0,0982; 318,17 ;;;
2120601;81409014 LIGHT G SX T1 LOWER;Pz;9001;21206019001;PF;43708;1428;0,18609; 265,74 ;;;
2120601;81409014 LIGHT G SX T1 LOWER;Pz;18;212060118;PF;43708;204;0,18609; 37,96 ;;;
2120563;103060760 GIRANTE 59 PALE H120;Pz;18;212056318;PF;44772;2800;0,63254; 1771,11 ;;;
2120563;103060760 GIRANTE 59 PALE H120;Pz;5;21205635;PF;44772;105;0,63238; 66,40 ;;;
2120642;465007196 LENTE DX POST DAILY;Pz;18;212064218;PFAuto;44781;2400;3,08864; 7412,74 ;;;
1117369;RUOTA 76/82 STAR GRIGIO;Pz;18;111736918;PFRoller;46540;49;0,59609; 29,21 ;;;
2121078;631078 LICHTLEITER RE SYNIOS;Pz;18;212107818;PFAuto;47600;5880;0,14346; 843,54 ;;;
2121077;631077 LICHTLEITER LI SYNIOS;Pz;18;212107718;PFAuto;47600;5880;0,14339; 843,13 ;;;
2120643;465107196 LENTE SX POST DAILY;Pz;18;212064318;PFAuto;47614;450;3,0885; 1389,83 ;;;
2121102;631079 LICHTLEITER LI SYNIOS;Pz;18;212110218;PFAuto;48000;3600;0,16964; 610,70 ;;;
2121103;631080 LICHTLEITER RE SYNIOS;Pz;18;212110318;PFAuto;48000;2400;0,16964; 407,14 ;;;
2115858;MOZZO STAR ARGENTO IN PBT 8 IM;Pz;18;211585818;SLRoller;48644;3350;0,15205; 509,37 ;;;
2119851;TAPPO OVALE PER GERAET3010704;Pz;18;211985118;SL;49454;10000;0,03851; 385,10 ;;;
2120514;20908018 SUPPORTO DX AU 736;Pz;18;212051418;SLAuto;49572;4752;0,20642; 980,91 ;;;
2120512;20908017 LENTE DX AU 736;Pz;18;212051218;SLAuto;49572;1920;0,24194; 464,52 ;;;
2121245;K11569A01 STEERING DISC OKE;Pz;18;212124518;PFAuto;49642;10800;0,20859; 2252,77 ;;;
1117330;20905201 ASSLENS DX AU736 T2;Pz;18;111733018;PFAuto;50058;540;0,78193; 422,24 ;;;
